osm_id,name,lat,lng,ward,ward_name,amenity,category,cuisine,takeaway,delivery,outdoor_seating,is_chain,opening_hours
node_496816401,Cafe Coffee Day,18.9166662,72.8176892,A,Colaba,cafe,cafe,coffee_shop,True,False,False,True,
node_4047369646,Santoor,18.9166992,72.8177173,A,Colaba,restaurant,restaurant,indian,True,True,False,False,
node_4048759190,Nature's Basket,18.914704,72.8181018,A,Colaba,ice_cream,dessert,unknown,False,False,False,True,Mo-Su 08:00-22:00
node_4048759441,Flamboyanté,18.9139072,72.8182842,A,Colaba,restaurant,restaurant,italian,False,False,False,False,
node_4048759442,The Village,18.9144908,72.8182091,A,Colaba,restaurant,restaurant,indian,False,False,False,False,
node_4242855335,Jagadish Canteen,18.9080952,72.8060835,A,Colaba,restaurant,restaurant,regional,False,False,False,False,
node_4243982133,Kamats,18.9165129,72.8175703,A,Colaba,restaurant,restaurant,south_indian,True,True,False,False,
node_12620087096,Naturals,18.911007,72.820594,A,Colaba,ice_cream,dessert,ice_cream,False,False,False,True,
node_605222674,Rajdhani,18.9429607,72.8291513,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,
node_858582376,Umar Pulaowala,18.9592105,72.8303122,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_1234802651,McDonald's,18.9387735,72.8344385,B,Mandvi,fast_food,fast_food,burger,True,False,False,True,
node_1304858029,Shalimar,18.957924,72.8324233,B,Mandvi,restaurant,restaurant,indian,False,False,False,False,
node_2166872171,Cafe Coffee Day,18.9390156,72.8342644,B,Mandvi,cafe,cafe,coffee_shop,True,False,False,True,
node_2166872172,New Majestic,18.9392087,72.8343769,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_2189176390,Suvidha,18.9374417,72.8340638,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_2930714471,Khans Cafe,18.9520692,72.8281085,B,Mandvi,cafe,cafe,pizza,False,False,False,False,
node_2930723087,shahil restaurant,18.9515065,72.82947,B,Mandvi,restaurant,restaurant,chicken_,False,False,False,False,
node_3204284269,Traveler's Coffee,18.9462778,72.8436247,B,Mandvi,cafe,cafe,coffee_shop,False,False,False,False,
node_3205798464,chanda cafe shop,18.9532967,72.8360059,B,Mandvi,cafe,cafe,unknown,False,False,False,False,
node_3257870661,beer bar and restaurant,18.9432705,72.8286006,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_3313013691,Domminos,18.9416893,72.8281217,B,Mandvi,restaurant,restaurant,pizza,False,False,False,False,
node_3313013696,Hindustan Restaurant,18.9549763,72.8341346,B,Mandvi,restaurant,restaurant,indian,False,False,False,False,
node_3366103245,Liberty,18.9415002,72.8275431,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_3366103247,Shreeji Sagar,18.9414618,72.827575,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_3994771759,Poonam Restaurant,18.944249,72.824337,B,Mandvi,restaurant,restaurant,indian,False,False,False,False,
node_4133873664,Iranian food,18.9479414,72.8355932,B,Mandvi,restaurant,restaurant,persian,False,False,False,False,
node_4133877123,Jai Ganesh pizza corner,18.9373663,72.8370359,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,Mo-Su 08:00-21:00
node_4225072291,Creeda Board Game Cafe,18.9374108,72.8331683,B,Mandvi,cafe,cafe,coffee_shop,False,False,False,False,Mo-Su 12:00-22:00
node_4302276789,Radio Restaurant,18.9479702,72.8359529,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,Mo-Su 06:00-24:00
node_4593013889,The Goose and Gridiron,18.9382784,72.8332041,B,Mandvi,restaurant,restaurant,grill,False,False,False,False,
node_4658636589,Shree Thaker Bhojanalay,18.9511,72.8282804,B,Mandvi,restaurant,restaurant,gujarati,False,False,False,False,
node_4676989392,New Jai Hind Restaurant,18.9531967,72.835022,B,Mandvi,restaurant,restaurant,local,False,False,False,False,
node_4695132801,Burger King,18.9381795,72.834279,B,Mandvi,fast_food,fast_food,burger,True,False,False,True,
node_4801932927,Farhang Restaurant,18.9382881,72.838063,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_4844717522,Patel Restaurant,18.949792,72.8348195,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,
node_5221682037,Noor Mohammadi Hotel,18.9578129,72.8322448,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_5263811023,Sher-e-Punjab,18.9380026,72.8377046,B,Mandvi,restaurant,restaurant,indian,False,False,False,False,
node_5304605321,Khau galli,18.9381338,72.8289414,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,
node_5451047523,Royal China,18.9385871,72.8328817,B,Mandvi,restaurant,restaurant,chinese,False,False,False,False,
node_6155507386,Pancham Puriwala,18.938269,72.8356327,B,Mandvi,cafe,cafe,unknown,False,False,False,False,
node_6287580585,Cheap and good Food,18.9490986,72.8411504,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_6367693478,Cafe Islam,18.9589473,72.8374659,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_6367704894,Ahmadi,18.9589669,72.837211,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_6367704895,Shimla Cold Drinks,18.9586904,72.8364788,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,
node_6367704896,Azad,18.9584913,72.8365807,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_6451269285,Anand Bhavan,18.9379302,72.8369057,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_6813483411,Badshah Falooda Place,18.9474561,72.8334369,B,Mandvi,restaurant,restaurant,unknown,False,False,False,False,
node_7025612186,Best dosa of your life,18.9533702,72.8355417,B,Mandvi,fast_food,fast_food,unknown,False,False,False,False,
